try, size, time_Naive, time_Better, time_Blas
1, 10, 0.000045, 0.000037,  0.000026
2, 10, 0.000041, 0.000043,  0.000007
3, 10, 0.000040, 0.000038,  0.000006
4, 10, 0.000039, 0.000042,  0.000006
5, 10, 0.000039, 0.000043,  0.000006
6, 10, 0.000042, 0.000043,  0.000006
7, 10, 0.000042, 0.000039,  0.000006
8, 10, 0.000042, 0.000040,  0.000006
9, 10, 0.000043, 0.000044,  0.000007
10, 10, 0.000039, 0.000040,  0.000006
1, 20, 0.000313, 0.000290,  0.000035
2, 20, 0.000338, 0.000302,  0.000032
3, 20, 0.000335, 0.000373,  0.000038
4, 20, 0.000302, 0.000240,  0.000011
5, 20, 0.000128, 0.000182,  0.000023
6, 20, 0.000177, 0.000107,  0.000009
7, 20, 0.000161, 0.000210,  0.000008
8, 20, 0.000286, 0.000241,  0.000023
9, 20, 0.000205, 0.000188,  0.000022
10, 20, 0.000205, 0.000188,  0.000022
1, 30, 0.000667, 0.000230,  0.000028
2, 30, 0.000238, 0.000213,  0.000025
3, 30, 0.000236, 0.000216,  0.000025
4, 30, 0.000235, 0.000214,  0.000025
5, 30, 0.000237, 0.000212,  0.000024
6, 30, 0.000228, 0.000215,  0.000025
7, 30, 0.000234, 0.000214,  0.000025
8, 30, 0.000232, 0.000212,  0.000036
9, 30, 0.000247, 0.000235,  0.000025
10, 30, 0.000227, 0.000211,  0.000025
1, 40, 0.000542, 0.000495,  0.000063
2, 40, 0.000536, 0.000495,  0.000064
3, 40, 0.000540, 0.000686,  0.000077
4, 40, 0.000622, 0.000529,  0.000074
5, 40, 0.000544, 0.000547,  0.000065
6, 40, 0.000518, 0.000556,  0.000060
7, 40, 0.000509, 0.000497,  0.000064
8, 40, 0.000575, 0.000468,  0.000060
9, 40, 0.000511, 0.000471,  0.000072
10, 40, 0.000544, 0.000468,  0.000060
1, 50, 0.000990, 0.000931,  0.000107
2, 50, 0.001005, 0.000911,  0.000108
3, 50, 0.001024, 0.000910,  0.000122
4, 50, 0.001029, 0.001072,  0.000134
5, 50, 0.001371, 0.001642,  0.000150
6, 50, 0.001282, 0.001363,  0.000157
7, 50, 0.001190, 0.000995,  0.000121
8, 50, 0.001066, 0.000980,  0.000115
9, 50, 0.001048, 0.000961,  0.000114
10, 50, 0.001033, 0.000964,  0.000113
1, 60, 0.001971, 0.002026,  0.000195
2, 60, 0.001713, 0.001579,  0.000175
3, 60, 0.001704, 0.001936,  0.000291
4, 60, 0.002781, 0.002859,  0.000312
5, 60, 0.003106, 0.002783,  0.000312
6, 60, 0.002621, 0.001655,  0.000185
7, 60, 0.001807, 0.001654,  0.000185
8, 60, 0.001918, 0.001562,  0.000175
9, 60, 0.001716, 0.001621,  0.000175
10, 60, 0.001839, 0.001594,  0.000177
1, 70, 0.002736, 0.002474,  0.000264
2, 70, 0.002841, 0.002535,  0.000264
3, 70, 0.002765, 0.002519,  0.000278
4, 70, 0.002734, 0.002491,  0.000322
5, 70, 0.002728, 0.002477,  0.000265
6, 70, 0.002669, 0.002480,  0.000264
7, 70, 0.002712, 0.002716,  0.000285
8, 70, 0.002732, 0.002505,  0.000263
9, 70, 0.002712, 0.002507,  0.000267
10, 70, 0.002662, 0.002567,  0.000267
1, 80, 0.004077, 0.003778,  0.000383
2, 80, 0.004116, 0.003812,  0.000406
3, 80, 0.004074, 0.003739,  0.000379
4, 80, 0.004020, 0.003894,  0.000435
5, 80, 0.004111, 0.003739,  0.000381
6, 80, 0.004094, 0.003790,  0.000379
7, 80, 0.004046, 0.003718,  0.000381
8, 80, 0.004073, 0.003781,  0.000380
9, 80, 0.004057, 0.003688,  0.000379
10, 80, 0.004038, 0.003953,  0.000401
1, 90, 0.005818, 0.005238,  0.000525
2, 90, 0.005771, 0.005333,  0.000530
3, 90, 0.006147, 0.006701,  0.000830
4, 90, 0.006449, 0.006227,  0.000573
5, 90, 0.005804, 0.005238,  0.000524
6, 90, 0.005874, 0.005279,  0.000526
7, 90, 0.005914, 0.005379,  0.000525
8, 90, 0.005778, 0.005386,  0.000530
9, 90, 0.005834, 0.005396,  0.000529
10, 90, 0.005761, 0.005325,  0.000525
1, 100, 0.008103, 0.007296,  0.000720
2, 100, 0.008115, 0.007287,  0.000733
3, 100, 0.007881, 0.007257,  0.000704
4, 100, 0.007828, 0.007370,  0.000705
5, 100, 0.008482, 0.008501,  0.000705
6, 100, 0.007971, 0.007686,  0.000752
7, 100, 0.008526, 0.007338,  0.000711
8, 100, 0.007902, 0.007261,  0.000710
9, 100, 0.007910, 0.007563,  0.000706
10, 100, 0.008003, 0.007662,  0.000735
